,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density
,,,,,,,,,,
0,8889,-35.288746,149.127365,COMMONWEALTH AV AFTER ALBERT HALL,ACTON,"(-35.288746, 149.127365)",0.057038263,1.260067683,0.008587041,0.526315789
,,,,,,,,,,
1,3486,-35.282188,149.120972,LIVERSIDGE ST AFTER GARRAN RD,ACTON,"(-35.282188, 149.120972)",0.032245127,0.335269441,0.008587041,0.526315789
,,,,,,,,,,
2,3487,-35.282471,149.120895,LIVERSIDGE AFTER ELLERY CR,ACTON,"(-35.282471, 149.120895)",0.032245127,0.361552665,0.008587041,0.526315789
,,,,,,,,,,
3,3147,-35.262012,149.141815,COWPER ST 2ND AFTER BONNEY ST,AINSLIE,"(-35.262012, 149.141815)",0.061648449,0.229976216,0.013270882,0.4
,,,,,,,,,,
4,3144,-35.265167,149.139267,COWPER ST OPP ALL SAINTS CHURCH,AINSLIE,"(-35.265167, 149.139267)",0.073414064,0.518313747,0.013270882,0.4
,,,,,,,,,,
5,3145,-35.264374,149.140884,COWPER ST AFTER BONNEY ST,AINSLIE,"(-35.264374, 149.140884)",0.103640006,0.34700772,0.013270882,0.4
,,,,,,,,,,
6,5081,-35.169155,149.12941,KATHERINE AV AFTER TIMBORAM ST,AMAROO,"(-35.169155, 149.12941)",0.175986596,0.252962583,0.005854801,0.384615385
,,,,,,,,,,
7,5082,-35.16946,149.131821,KATHERINE AV AFTER COOLOOLA ST,AMAROO,"(-35.16946, 149.131821)",0.221830192,0.34220863,0.005854801,0.384615385
,,,,,,,,,,
8,5080,-35.168079,149.127991,KATHERINE AV AFTER SHOALHAVEN AV,AMAROO,"(-35.168079, 149.127991)",0.105692823,0.377116018,0.005854801,0.384615385
,,,,,,,,,,
9,4521,-35.256203,149.079651,BANDJALONG CR ARANDA PRIMARY,ARANDA,"(-35.256203, 149.079651)",0.035728063,0.239030684,0.005464481,0.625
,,,,,,,,,,
10,4522,-35.256348,149.0793,BANDJALONG CR OPP ARANDA PRIMARY,ARANDA,"(-35.256348, 149.0793)",0.035728063,0.229762944,0.005464481,0.625
,,,,,,,,,,
11,4525,-35.259003,149.084671,BANDJALONG BEFORE BANAMBILA ST,ARANDA,"(-35.259003, 149.084671)",0.094903558,0.430740285,0.005464481,0.625
,,,,,,,,,,
12,1262,-35.469933,149.098663,WIBURD ST BEFORE POCKETT AV,BANKS,"(-35.469933, 149.098663)",0.104645683,0.475899372,0.010928962,0.434782609
,,,,,,,,,,
13,1261,-35.46656,149.10051,TOM ROBERTS BEFORE MCLUCKIE CR,BANKS,"(-35.46656, 149.10051)",0.019249667,0.873072208,0.010928962,0.434782609
,,,,,,,,,,
14,1227,-35.472431,149.095947,POCKETT AV BANKS SHOPS,BANKS,"(-35.472431, 149.095947)",0.119956646,0.106604117,0.010928962,0.434782609
,,,,,,,,,,
15,2446,-35.309296,149.132553,BRISBANE AV AFTER NATIONAL CCT,BARTON,"(-35.309296, 149.132553)",0.058297667,0.240772031,0.005074161,0.452488688
,,,,,,,,,,
16,2447,-35.308884,149.13295,BRISBANE AV AFTER STATE CIR,BARTON,"(-35.308884, 149.13295)",0.058297667,0.183095444,0.005074161,0.452488688
,,,,,,,,,,
17,2375,-35.309258,149.136505,BRISBANE AV AFTER MACQUARIE ST,BARTON,"(-35.309258, 149.136505)",0.07277154,0.249192779,0.005074161,0.452488688
,,,,,,,,,,
18,5141,-35.233608,149.062439,JOYNTON SMITH DR AFTER MORELL ST,BELCONNEN,"(-35.233608, 149.062439)",0.015085568,0.443265653,0.019906323,0.227272727
,,,,,,,,,,
19,5142,-35.2337,149.062317,JOYNTON SMITH DR AFTER BEISSEL ST,BELCONNEN,"(-35.2337, 149.062317)",0.015085568,0.440622238,0.019906323,0.227272727
,,,,,,,,,,
20,5139,-35.230595,149.061752,JOYNTON SMITH DR AFTER SUTHERLAND CR,BELCONNEN,"(-35.230595, 149.061752)",0.073582297,0.771123129,0.019906323,0.227272727
,,,,,,,,,,
21,6329,-35.160358,149.136246,MOBOURNE ST AFTER RODEN CUTLER DR,BONNER,"(-35.160358, 149.136246)",0.357913083,0.501741684,0.00273224,0.357142857
,,,,,,,,,,
22,6331,-35.162155,149.139511,MABO BVD BONNER SHOPS,BONNER,"(-35.162155, 149.139511)",0.357913083,0.612784259,0.00273224,0.357142857
,,,,,,,,,,
23,6325,-35.154099,149.139542,ESSIE COFFEY ST BEFORE MUMSHIRL ST,BONNER,"(-35.154099, 149.139542)",0.358324208,1.255150061,0.00273224,0.357142857
,,,,,,,,,,
24,1046,-35.426731,149.074173,BARR SMITH AV AFTER SALAS ST,BONYTHON,"(-35.426731, 149.074173)",0.018736004,0.853645861,0.008587041,0.344827586
,,,,,,,,,,
25,1047,-35.426899,149.074188,BARR SMITH AV AFTER DON DUNSTAN DR,BONYTHON,"(-35.426899, 149.074188)",0.018736004,0.842250608,0.008587041,0.344827586
,,,,,,,,,,
26,1044,-35.434803,149.086151,HURTLE AV AFTER NOARLUNGA CR,BONYTHON,"(-35.434803, 149.086151)",0.018614974,0.566095177,0.008587041,0.344827586
,,,,,,,,,,
27,300,-35.273621,149.140823,DONALDSON ST AFTER AINSLIE PRIMARY SCHOOL,BRADDON,"(-35.273621, 149.140823)",0.101642198,0.513379488,0.011319282,0.714285714
,,,,,,,,,,
28,2560,-35.266106,149.136871,IPIMA ST MERICI CLG,BRADDON,"(-35.266106, 149.136871)",0.078084843,0.660249354,0.011319282,0.714285714
,,,,,,,,,,
29,3385,-35.273182,149.135529,FAWKNER ST AFTER FARRER ST,BRADDON,"(-35.273182, 149.135529)",0.062459377,0.13772436,0.011319282,0.714285714
,,,,,,,,,,
30,4973,-35.251682,149.090225,MARY POTTER CCT CALVARY HOSPITAL,BRUCE,"(-35.251682, 149.090225)",0.026022303,1.613377284,0.015612802,0.172413793
,,,,,,,,,,
31,4971,-35.240219,149.091599,EARDLEY ST AFTER HAYDON DR,BRUCE,"(-35.240219, 149.091599)",0.014975505,1.34095762,0.015612802,0.172413793
,,,,,,,,,,
32,4982,-35.240353,149.091583,EARDLEY ST AFTER THYNNE ST,BRUCE,"(-35.240353, 149.091583)",0.014975505,1.337395967,0.015612802,0.172413793
,,,,,,,,,,
33,1029,-35.441601,149.100906,DUGGAN ST AFTER THARWA DR,CALWELL,"(-35.441601, 149.100906)",0.01939262,0.91629437,0.011709602,0.256410256
,,,,,,,,,,
34,1030,-35.441601,149.10112,DUGGAN ST AFTER ANDREW CR,CALWELL,"(-35.441601, 149.10112)",0.01939262,0.898892252,0.011709602,0.256410256
,,,,,,,,,,
35,1027,-35.439865,149.098618,DUGGAN ST AFTER DOWNARD ST,CALWELL,"(-35.439865, 149.098618)",0.012943328,1.0521211,0.011709602,0.256410256
,,,,,,,,,,
36,3474,-35.282707,149.148727,FAIRBAIRN AV AFTER CRESWELL ST,CAMPBELL,"(-35.282707, 149.148727)",0.11968554,0.757398869,0.017174083,0.15625
,,,,,,,,,,
