,Unnamed: 0,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type,suburb_area
0,0,APPROXIMATE,"Aranda ACT 2614, Australia",ChIJDWsDh5-yF2sRkFVpp27qAAU,ARANDA,-35.258333,149.08,1,2614.0,OK,"locality,political",1.6
1,1,APPROXIMATE,"Belconnen ACT 2617, Australia",ChIJMTw2H3KtF2sRoFRpp27qAAU,BELCONNEN,-35.236999999999995,149.065,1,2617.0,OK,"locality,political",4.4
2,2,APPROXIMATE,"Bruce ACT 2617, Australia",ChIJme9TxS9TFmsRkFRpp27qAAU,BRUCE,-35.242,149.077,1,2617.0,OK,"locality,political",5.8
3,3,APPROXIMATE,"Charnwood ACT 2615, Australia",ChIJJ0XCQTWsF2sR4FRpp27qAAU,CHARNWOOD,-35.2,149.037,1,2615.0,OK,"locality,political",1.9
4,4,APPROXIMATE,"Cook ACT 2614, Australia",ChIJJzwKUY-yF2sRgFVpp27qAAU,COOK,-35.259722,149.063889,1,2614.0,OK,"locality,political",1.7
5,5,APPROXIMATE,"Dunlop ACT 2615, Australia",ChIJrZpU-PWrF2sREFRpp27qAAU,DUNLOP,-35.195555999999996,149.02,1,2615.0,OK,"locality,political",3.6
6,6,APPROXIMATE,"Evatt ACT 2617, Australia",ChIJy3YFgIWsF2sRQFRpp27qAAU,EVATT,-35.211667,149.067778,1,2617.0,OK,"locality,political",3.1
7,7,APPROXIMATE,"Florey ACT 2615, Australia",ChIJvfi4b5itF2sRsFRpp27qAAU,FLOREY,-35.225833,149.049444,1,2615.0,OK,"locality,political",2.8
8,8,APPROXIMATE,"Flynn ACT 2615, Australia",ChIJe9gs4LKtF2sR0FRpp27qAAU,FLYNN,-35.2025,149.050278,1,2615.0,OK,"locality,political",2.1
9,9,APPROXIMATE,"Fraser ACT 2615, Australia",ChIJzXHV50SsF2sRIFRpp27qAAU,FRASER,-35.1925,149.050556,1,2615.0,OK,"locality,political",2.5
