,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center
0,8889,-35.288746,149.127365,COMMONWEALTH AV AFTER ALBERT HALL,ACTON,"(-35.288746, 149.127365)",0.05703826256804439,1.2600676827275812
1,3486,-35.282188,149.120972,LIVERSIDGE ST AFTER GARRAN RD,ACTON,"(-35.282188, 149.120972)",0.0322451269765105,0.3352694407708384
2,3487,-35.282471,149.120895,LIVERSIDGE AFTER ELLERY CR,ACTON,"(-35.282471, 149.120895)",0.0322451269765105,0.3615526648133217
3,3147,-35.262012,149.14181499999998,COWPER ST 2ND AFTER BONNEY ST,AINSLIE,"(-35.262012, 149.141815)",0.06164844936708583,0.22997621581438749
4,3144,-35.265167,149.139267,COWPER ST OPP ALL SAINTS CHURCH,AINSLIE,"(-35.265167, 149.139267)",0.07341406414105096,0.5183137470956897
5,3145,-35.264374,149.140884,COWPER ST AFTER BONNEY ST,AINSLIE,"(-35.264374, 149.140884)",0.1036400056112745,0.3470077197191884
6,5081,-35.169154999999996,149.12941,KATHERINE AV AFTER TIMBORAM ST,AMAROO,"(-35.169155, 149.12941)",0.17598659613953502,0.25296258345699846
7,5082,-35.16946,149.131821,KATHERINE AV AFTER COOLOOLA ST,AMAROO,"(-35.16946, 149.131821)",0.22183019232353898,0.3422086302038406
8,5080,-35.168079,149.12799099999998,KATHERINE AV AFTER SHOALHAVEN AV,AMAROO,"(-35.168079, 149.127991)",0.10569282293576117,0.3771160182539114
9,4521,-35.256203,149.079651,BANDJALONG CR ARANDA PRIMARY,ARANDA,"(-35.256203, 149.079651)",0.03572806285381154,0.2390306844064456
10,4522,-35.256347999999996,149.0793,BANDJALONG CR OPP ARANDA PRIMARY,ARANDA,"(-35.256348, 149.0793)",0.03572806285381154,0.22976294370488842
11,4525,-35.259003,149.084671,BANDJALONG BEFORE BANAMBILA ST,ARANDA,"(-35.259003, 149.084671)",0.09490355805899904,0.43074028490268407
12,1262,-35.469933000000005,149.098663,WIBURD ST BEFORE POCKETT AV,BANKS,"(-35.469933, 149.098663)",0.10464568283777516,0.47589937230314944
13,1261,-35.46656,149.10051,TOM ROBERTS BEFORE MCLUCKIE CR,BANKS,"(-35.46656, 149.10051)",0.019249666820500885,0.8730722079367498
14,1227,-35.472431,149.095947,POCKETT AV BANKS SHOPS,BANKS,"(-35.472431, 149.095947)",0.11995664635901043,0.1066041168732242
15,2446,-35.309296,149.132553,BRISBANE AV AFTER NATIONAL CCT,BARTON,"(-35.309296, 149.132553)",0.05829766677726488,0.24077203063269437
16,2447,-35.308884,149.13295,BRISBANE AV AFTER STATE CIR,BARTON,"(-35.308884, 149.13295)",0.05829766677726488,0.18309544393668292
17,2375,-35.309258,149.136505,BRISBANE AV AFTER MACQUARIE ST,BARTON,"(-35.309258, 149.136505)",0.07277154027897818,0.2491927790884002
18,5141,-35.233608000000004,149.06243899999998,JOYNTON SMITH DR AFTER MORELL ST,BELCONNEN,"(-35.233608, 149.062439)",0.015085567592690816,0.44326565290317455
19,5142,-35.2337,149.06231699999998,JOYNTON SMITH DR AFTER BEISSEL ST,BELCONNEN,"(-35.2337, 149.062317)",0.015085567592690816,0.4406222377501152
20,5139,-35.230595,149.061752,JOYNTON SMITH DR AFTER SUTHERLAND CR,BELCONNEN,"(-35.230595, 149.061752)",0.07358229699560351,0.7711231286404101
21,6329,-35.160358,149.136246,MOBOURNE ST AFTER RODEN CUTLER DR,BONNER,"(-35.160358, 149.136246)",0.3579130830341113,0.5017416841081275
22,6331,-35.162155,149.139511,MABO BVD BONNER SHOPS,BONNER,"(-35.162155, 149.139511)",0.3579130830341113,0.6127842591017248
